Intent Name,Intent Description
Account verification status,"The requester wants information on the status of their account verification. This can include identity verification, bank account verification, or general account validation. They may be experiencing delays in the verification process, having trouble with document submission, or seeking to confirm the status of their verification. For example, ""Why is my account verification taking so long?"" or ""I've submitted my documents, but my account isn't verified yet.""."
Sending account activation link,"This is a system-generated message informing the user to activate their newly created account for a service or platform. They've typically received an email with instructions and a link to complete the activation process. For example, ""Please click the 'Activate' button to finish your account activation."" or ""To activate your account, please follow this link.""."
Close or delete account,"The requester wants to delete or close their account. They may use various terms like ""cancel"" ""close"" or ""remove"" their account. Reasons can vary, including no longer needing the service, privacy concerns, or account security issues. For example, ""I want to delete my account entirely."" or ""Please close this account as I don't use your services.""."
Data protection policy,"The requester wants to understand how their data or their users' data is handled, protected, and used. They may ask about compliance with specific regulations (like GDPR or HIPAA), data retention policies, data transfer practices, or security measures. For example, ""What's your policy on data retention?"" or ""Is your service HIPAA compliant?""."
Sending documentation,"The requester is providing documents that were requested by the organization. The type of documents sent are typically not mentioned by the requester, because it is a response to a certain files request. For example, ""Here are the documents you requested for my university."" or ""I've attached the required documents for my reimbursement application.""."
Merge accounts,"The requester wants to combine two or more of their accounts into one. This could be to consolidate purchase history, loyalty points, or access to services across different platforms or email addresses. For example, ""Can you merge my two profiles on the mobile app and website?"" or ""I accidentally created multiple accounts and want to combine them.""."
Blocked account reason,"The requester wants to know why their account is inaccessible. They often describe their account as blocked or locked. For example, ""Why is my account locked?"" or ""Can you tell me why my account was blocked?""."
Reactivate account,"The requester wants to reactivate their account or regain access to a previously deactivated account. This may include accounts that have been inactive for a while, accidentally deactivated. For example, ""Can you please reactivate my account?"" or ""I'd like to regain access to my old account.""."
Recover account,"The requester wants to regain access to their account that has been closed, deleted or compromised. They may need help resolving account suspension issues, or reopening a previously closed account. For example, ""My account has been compromised and I can't log in."" or ""I want to reopen my closed account.""."
Reset account,"The requester wants to reset their account due to problems during account creation or account customization issues. They may need guidance on the reset process or information about the consequences of resetting, such as data loss or the need to reconfigure settings and permissions. For example, ""I'd like to reset my account."" or ""I'm having issues while trying to reset my account."".
"
Unblock account,"The requester can't access their account due to it being blocked, locked, or disabled. They want to regain access to their account. For example, ""My account has been locked, can you help me unlock it?"" or ""I'm unable to log in because my account is blocked."".
"
Account status,"The requester wants to verify the current status of their account, including whether it's active, functional, or ready for use. For example, ""Is my account open again yet?"" or ""Has an account been set up for the doctor?""."
Change email address,"The requester wants to change the email address associated with their account. They may need to update their email due to a typo, losing access to their old email, or switching to a new email provider. For example, ""I entered the wrong email when I created my account."" or ""I no longer have access to the email I used to register.""."
Change login or ID,"The requester wants to update their account or login identifier. This can include changing their username. For example, ""I need to change my username."" or ""How can I change my account login?""."
Change name,"The requester wants to change or correct their name in the system. This could be due to a name change after marriage, correcting a misspelling, changing the order of first and last names or adjusting capitalization. For example, ""I need to change my surname after getting married."" or ""My first and last names are in the wrong order in the system.""."
Change post address,"The requester wants to change their physical contact address. This could be for various accounts or services, such as insurance policies, loyalty cards, or official records. They may need assistance if they're unable to update the address themselves online or through an app. For example, ""I've recently moved and need to change the address on my loyalty card."" or ""Can you please update my address in your system?""."
Request account renewal,"The requester wants to extend the expiration date of a temporary or staff account. They typically provide the account holder's name, account number or username, current expiry date, and the desired extension period. For example, ""Can you extend the account of the following employee until the end of December?"" or ""Please extend the following user's account for another year.""."
Report scam account,"The requester wants to report fraudulent activity, scams, or suspicious behavior on the platform. This can include sellers with multiple accounts, fake listings, unauthorized account creation, or attempts to conduct transactions outside the platform. For example, ""someone is using my photos to sell fake items."" or ""I received an email about an account I didn't create.""."
Create new account,"The requester wants to create a new account or register for a service. This could be for personal use, business purposes, or on behalf of someone else. For example, ""I want to register my account."" or ""Can you help me set up an account for this new user?""."
Signup issue,"The requester is trying to create a new account or set up an existing one but is encountering difficulties. They may be experiencing technical issues, error messages, or confusion about the registration process. For example, ""I can't create an account."" or ""I'm getting an error when trying to register.""."
Request account statement,"The requester wants to obtain a statement or detailed record of their account activity. This can include deposit and withdrawal histories, transaction lists, or financial summaries. For example, ""Can I get a full deposit and withdrawal statement for 2022?"" or ""Please send me a lifetime transaction history of my account.""."
Refund request,"The requester wants to get a refund for a product, service, or charge. For example, ""I canceled my order and need a refund."" or ""I was charged incorrectly, how can I request a refund?""."
Cancel subscription,"The requester wants to cancel their subscription, membership, abonnement, trial or service. For example, ""Please cancel my monthly subscription.""."
Subscription payment not reflected in system,"The requester is experiencing problems with their subscription or payment not being reflected correctly in their account. This can include payments not showing up, subscriptions not activating, or features remaining locked despite payment. For example, ""I paid for premium but my account still shows as free."" or ""My subscription was renewed but I'm getting errors saying it's expired.""."
Subscription expiration date,"The requester wants to know when their subscription, membership, or service period ends. For example, ""When does my current subscription expire?"" or ""What's the end date of my premium service?""."
Unexpected charge question,"The requester wants to understand or dispute an unexpected charge or debit to their account. They may be seeking an explanation, suspecting fraud, or questioning the validity of the transaction. For example, ""Can you explain this payment on my account?""."
Admission application requirements,"The requester wants to understand specific admission requirements, for instance language proficiency requirements for their application. They may have questions about required test scores, transcript submission, program-specific requirements. For example, ""What documents are required for my application, and how should I submit them?""."
What is the admission application process,"The requester wants information about how to apply or register for a program, course, or study opportunity. They may ask about application procedures, for example ""What's the application process for the master's program?""."
Admission application status,"The requester wants to inquire about the current status of their admission application to an educational institution. They're seeking specific information regarding whether their application has been accepted, rejected, or is still under review. For example, ""Has my application been received?"" or ""When can I expect a decision on my application?""."
Admission application correction,"The requester wants to change information on an application they've already submitted. This could include correcting errors, updating details, or changing preferences. For example, ""I entered the wrong date of birth on my university application."" or ""I need to change my college preferences.""."
Course enrollment submission,"The requester wants to enroll in an educational course. This can include submitting entry forms, asking for manual enrollment. For example, ""Can you enroll me in the self-study course?""."
Unable to enroll in course,"The requester is experiencing difficulties with course enrollment, and seeks assistance to complete the process. For example: ""I'm unable to enroll in the course even though I meet the eligibility requirements. When I attempted to enroll, I received an error message""."
Course duration,"The requester wants to know how long a course or program takes to complete. They may ask about total course hours, duration of individual lessons, time to finish if studying full-time, or specific start and end dates. For example, ""How many hours is the Mobile Technology course?"" or ""How long does it take to complete one module on average?""."
Course offerings,"The requester wants to learn about the classes and programs they can enroll in at the institution they're addressing. For example, ""Are there any online master's degree programs available?"" or ""What courses are offered for exchange students?""."
Course schedule,"The requester wants to obtain information about their class schedule, timetable, or course start dates. They might be asking when classes begin, where to find their schedule, or have questions about specific dates, or times on their timetable. For example, ""When do my classes start?"" or ""Where can I find my course schedule?""."
Help with course selection,"The requester wants to choose courses or subjects for their academic program. They may be asking about the course selection process, or the number of subjects they can take. For example, ""When do I choose my classes for the semester?"" or ""How many subjects should I select as an exchange student?""."
Request course syllabus,"The requester wants to obtain detailed information about specific courses, study programs, or syllabi. They may be seeking course outlines, reading lists, module descriptions. For example, ""Can you send me the syllabus for modern history course?"" or ""Where can I find the course content for next semester's classes?""."
Change course selection,"The requester wants to switch to a different course, module, program, or degree track. They may be seeking information on how to make the change, requesting assistance with the transfer process, or inquiring about the possibility of switching. For example, ""Can I change from Data Analytics to Data Science course?"" or ""I'd like to transfer from Advanced Strategy to Strategic Management.""."
Extend course access,"The requester wants to extend their access time to a course, program, or course materials. They may need more time due to personal circumstances, health issues, work commitments, or other reasons. For example, ""Can I have a 2-week extension on my digital marketing bootcamp?"" or ""Is it possible to extend my course access until May 2024?""."
Reinstate course,"The requester wants to resume a course or program they previously enrolled in but didn't complete. They may have stopped due to various reasons such as health issues, work commitments, or personal matters. For example, ""How can I reactivate my expired course?"" or ""I want to resume my studies after a break.""."
Withdraw from course,"The requester wants to withdraw, cancel, or discontinue their participation in a program, course, or enrollment. Reasons for withdrawal may include personal circumstances, health issues, relocation, or changes in plans. For example, ""I need to withdraw from my university program."" or ""How do I cancel my child's school enrollment?""."
Request academic transcript,"The requester wants to obtain an official academic document, such as a transcript, or grade report. They may need this for various purposes including university applications, job applications, visa processes, or credit transfers. For example, ""Can I get a transcript of my fall semester grades?"" or ""I need a sealed copy of my A-level results for my US university application.""."
Request course certificate,"The requester wants to obtain a certificate, diploma, or other official documentation proving their completion of a course, degree, or program. They may need this for various purposes such as job applications, visa requirements, or proof of qualifications. For example, ""Can I get a copy of my graduation certificate?"" or ""How do I request an end-of-study certificate for my visa application?""."
Request enrollment certificate,"The requester needs official documentation confirming their enrollment at the institution. This could be for various purposes such as visa applications, health insurance, loan verification, military service exemption, or housing. For example, ""I need proof that I'm a student for my visa application."" or ""Can you provide an enrollment certificate for my landlord?""."
Sending academic transcript,"The requester is sending their academic transcript or have it sent to another institution. This can be for various purposes such as completing an application, meeting offer conditions, or updating their academic record. For example, ""I need to send my transcript to complete my application."" or ""Can you please forward my certified transcript to the university I'm applying to?""."
Sending course withdrawal form,"The requester wants to submit a form to withdraw from their course or program. They may attach the completed withdrawal form to their message or notify the administration about their decision to withdraw. For example, ""Here is my withdrawal form."" or ""Please find attached my permanent withdrawal form.""."
Sending learning agreement,"The requester wants to submit their learning agreement. They may be exchange students requiring approval for course selections, changes to their initial agreement, or as part of a scholarship application. For example, ""Please find attached a copy of my learning agreement to be signed by the home university.""."
Exam retake process,"The requester wants to retake an exam, test, or quiz. This could be due to failing the first attempt, technical issues, wanting to improve their score, or missing the original test date. For example, ""Can I retake the test I failed?"" or ""How do I redo the exam for this course?""."
Question about exam results,"The requester wants to know when and how to access their exam, test, or course results. They may be asking about the release date, the method to view scores, or requesting specific score information. For example, ""When will my results be available?"" or ""How can I see my final exam grades?""."
Grading correction,"The requester wants their grade, score, or assessment to be re-evaluated or corrected. They believe there may have been an error in grading, a misunderstanding of their submission, or a technical issue that affected their score. For example, ""I think there's a mistake in my exam results."" or ""Can you please recheck my exam results? I don't think they're accurate.""."
Grading policy,"The requester wants to understand their grades, exam results, or the grading process. They may be asking about grade thresholds, score calculations, retake policies, or clarification on unexpected results. For example, ""Why did I receive this grade?"" or ""How are my final scores calculated?""."
Graduation ceremony date,"The requester wants to know specific details about their upcoming graduation ceremony. They're typically asking for the exact date, time, or confirmation of previously provided information. For example, ""When is the Economics graduation this summer?"" or ""Can you confirm the graduation dates for July?"".
"
Scholarship eligibility criteria,"The requester wants information about the eligibility criteria for scholarships. They may ask where to find information about eligibility and what the different eligibility criteria are. For example, ""Am I eligible for the scholarship?"" or ""I'm writing to inquire about the eligibility criteria for a scholarship?""."
Scholarship offer,"The requester wants information about scholarship opportunities, including the types of scholarships available, such as athletic scholarships, minority scholarships, or others. For example, ""Do you offer scholarships to international students?""."
How to change educational institutions,"The requester wants information about transferring to a different educational institution or campus. They may be seeking details on the transfer process, eligibility criteria, required documentation, or deadlines. For example, ""How can I transfer from my current university to another university?"" or ""What's the process for transferring my child to a different educational institution?""."
What are the tuition fees,"The requester wants to know about specific fees, scholarships, or financial aspects of their education. They may be asking about tuition costs, application fees, late entry fees, continuation fees, or scholarship details. For example, ""What is the tuition cost for next semester?""."
Request transaction confirmation,"The requester wants to confirm if a financial transaction has been successful. For example, ""Could you verify if my transfer in the amount has been successful.""."
Unsubscribe from communications,"The requester wants to stop receiving unwanted emails, text messages, or other forms of communication from the company. They may ask to unsubscribe, be removed from mailing lists, or simply request that the company stops contacting them. For example, ""Please remove us from your mailing list."" or ""Stop sending me those messages.""."
Contact request,"The requester wants to be contacted by a representative of the company. The requester does not specify the means of contact. They may need to discuss account issues, follow up on previous communications, address product problems, seek assistance with purchases, or request information about services. For example, ""Can someone get in touch with me about my order?"" or ""Please contact me to discuss my account.""."
Request phone call with agent,"The requester wants to be contacted specifically by phone by a representative of the company. They may have complex issues, technical problems, or questions that are difficult to resolve through other channels. For example, ""Can someone please call me?"" or ""I need to speak to someone on the phone regarding my account.""."
Request to contact specific person or role,"The requester wants to get in touch with a specific person or department within an organization. They're often looking for contact information for roles such as account managers, HR representatives, marketing leads, or other specialized positions. For example, ""Can you provide me with the contact details for your HR manager?"" or ""Who's the right person to discuss our account?""."
Transfer to agent,
Apology,
Complaint,"The requester wants to submit a formal complaint about a product, service, or company behavior. The message can also be a notice from a third-party about a new complaint that has been filed and needs to be processed. This can include issues with purchases, customer service experiences, policy changes, or perceived unfair treatment. For example, ""I want to complain about a faulty product."" or ""I need to file a complaint against my manager.""."
Customer satisfaction survey,"The requester is sending a request for feedback about a recent customer support interaction, most often in an automated format of a customer satisfaction survey. For example, ""We'd love to hear what you think of our customer service. How would you rate the support you received?""."
Negative service feedback,"The requester wants to voice their disappointment or frustration with a service, product (excepting software products), or company. They may be complaining about poor customer service, unfair policies, poor overall experience, or perceived unfairness in games or betting. For example, ""I feel cheated by this casino."" or ""I'm done with this company due to lack of response.""."
Positive service feedback,"The requester wants to express appreciation or share a positive experience they've had with the company, product (excepting software products), or service. They might be praising specific staff members, highlighting excellent customer service, or commending the quality of products. For example, ""I wanted to express my sincere gratitude for the fantastic experience I've had."" or ""I just wanted to send a BIG thank you for all the fantastic work.""."
Suggestion,"The requester wants to offer suggestions or feedback to improve a product (excepting software products), service, or platform. The suggestions could include improvements to business practices, customer support, or general experience. For example, ""It would be great if introducing more flexibility to handle leave requests for employees."" or ""I suggest you improve your customer service options.""."
Handle this request,"The requester is asking for a message or ticket to be handled, without providing any details on the type of the request being forwarded. For example, ""Can you please help our agent solve this issue?"" or ""Please assist with the below request from our newsletter supplier."".
"
See attachment,"The requester is sending a document or attachment for various purposes. The purpose or type of document isn't specified. For example, ""I'm attaching the requested form."" or ""Please find the required file attached.""."
Screenshot of problem,"The requester is sharing a screenshot to illustrate an issue or provide visual information. They may be showing error messages, account details, confirmation emails, or other visual content to support their query or provide context. ""We are now getting this error (see screenshot below).""."
Check previous message,"The requester is following up on a previous inquiry, request, or issue that hasn't been addressed or resolved. They're seeking a response, update, or action on their earlier communication. They're not explicitly reiterating their request. For example, ""I sent an email two days ago and haven't heard back."" or ""Can someone please look into ticket that I submitted last week?""."
